Index,Target
5600,4
5601,3
5602,4
5603,3
5604,4
5605,4
5606,4
5607,4
5608,4
5609,4
5610,3
5611,4
5612,3
5613,5
5614,4
5615,4
5616,5
5617,5
5618,3
5619,2
5620,3
5621,3
5622,4
5623,4
5624,4
5625,3
5626,4
5627,4
5628,4
5629,3
5630,4
5631,4
5632,5
5633,3
5634,3
5635,3
5636,4
5637,3
5638,4
5639,4
5640,5
5641,5
5642,3
5643,2
5644,3
5645,4
5646,5
5647,4
5648,4
5649,4
5650,4
5651,4
5652,5
5653,4
5654,5
5655,4
5656,4
5657,3
5658,4
5659,4
5660,4
5661,3
5662,4
5663,3
5664,4
5665,4
5666,4
5667,4
5668,4
5669,3
5670,3
5671,3
5672,4
5673,5
5674,4
5675,5
5676,3
5677,4
5678,4
5679,3
5680,4
5681,5
5682,4
5683,5
5684,4
5685,5
5686,4
5687,4
5688,3
5689,3
5690,4
5691,4
5692,4
5693,4
5694,3
5695,5
5696,4
5697,4
5698,4
5699,4
5700,5
5701,3
5702,3
5703,4
5704,4
5705,4
5706,3
5707,3
5708,3
5709,3
5710,4
5711,3
5712,4
5713,4
5714,3
5715,3
5716,4
5717,3
5718,3
5719,5
5720,3
5721,5
5722,3
5723,3
5724,4
5725,4
5726,4
5727,4
5728,3
5729,4
5730,4
5731,3
5732,4
5733,4
5734,3
5735,4
5736,4
5737,4
5738,4
5739,3
5740,3
5741,4
5742,3
5743,4
5744,4
5745,3
5746,4
5747,3
5748,3
5749,4
5750,4
5751,4
5752,3
5753,4
5754,5
5755,5
5756,3
5757,3
5758,3
5759,5
5760,4
5761,3
5762,4
5763,4
5764,3
5765,4
5766,4
5767,4
5768,4
5769,3
5770,5
5771,4
5772,4
5773,3
5774,3
5775,3
5776,3
5777,3
5778,4
5779,4
5780,4
5781,4
5782,4
5783,3
5784,4
5785,4
5786,5
5787,4
5788,4
5789,4
5790,3
5791,4
5792,3
5793,4
5794,4
5795,3
5796,4
5797,3
5798,4
5799,4
5800,4
5801,4
5802,4
5803,5
5804,4
5805,3
5806,4
5807,3
5808,3
5809,3
5810,3
5811,5
5812,3
5813,5
5814,4
5815,3
5816,4
5817,3
5818,3
5819,3
5820,3
5821,4
5822,3
5823,4
5824,4
5825,3
5826,3
5827,4
5828,4
5829,4
5830,3
5831,4
5832,3
5833,3
5834,3
5835,4
5836,3
5837,4
5838,4
5839,4
5840,4
5841,4
5842,3
5843,4
5844,4
5845,4
5846,3
5847,4
5848,4
5849,3
